Fund,Proposal,Challenge,Link,Overall score,Votes cast,YES,ABSTAIN,NO,Result,Meets approval threshold,REQUESTED,STATUS,FUND DEPLETION,Reason for not funded status,Ccy,URL,proposal_id,Funding category,challenge_id,Rating,No. Assessments,Title,# valid reviews,"# allocated
(out of valid)",% of valid,"% of allocated
(out of valid)","Impact
score","Feasibility
score","Value for money
score",Category
Fund07,(Close to) Free energy SPO by OST,New SPO Business Opportunities,https://app.ideascale.com/t/UM5UZBrQ3,1.11,141,14616469,0,31616506,-17000037,NO,120000,NOT FUNDED,8800,Approval Threshold,USD,,,,,,,,,,,,,,,
Fund07,(DEI): Decentralized Exam identity,Accelerate Decentralized Identi,https://app.ideascale.com/t/UM5UZBrdu,2.28,100,18216171,0,12609040,5607131,NO,20000,NOT FUNDED,13120,Approval Threshold,USD,,,,,,,,,,,,,,,
Fund07,@chain-lib Bidding Smart Contract,DApps & Integrations,https://app.ideascale.com/t/UM5UZBqW7,1.5,146,14584065,0,17115766,-2531701,NO,15907,NOT FUNDED,1350,Approval Threshold,USD,,,,,,,,,,,,,,,
Fund07,@chain-lib bundle selling component,DApps & Integrations,https://app.ideascale.com/t/UM5UZBqW5,1.56,143,14586436,0,17202888,-2616452,NO,15439,NOT FUNDED,1350,Approval Threshold,USD,,,,,,,,,,,,,,,
Fund07,@chain-lib Cardano API Plugins,Open Source Developer Ecosystem,https://app.ideascale.com/t/UM5UZBqXE,2.27,105,28183832,0,11163907,17019925,YES,5214,FUNDED,195,,USD,,,,,,,,,,,,,,,
Fund07,@chain-lib Documentation Website,Open Source Developer Ecosystem,https://app.ideascale.com/t/UM5UZBqXM,3.6,105,47396000,0,6366578,41029422,YES,4211,FUNDED,15489,,USD,,,,,,,,,,,,,,,
Fund07,@chain-lib Token mint/sell any site,DApps & Integrations,https://app.ideascale.com/t/UM5UZBqW2,1.89,135,14567617,0,18167915,-3600298,NO,14907,NOT FUNDED,1350,Approval Threshold,USD,,,,,,,,,,,,,,,
Fund07,@chain-lib WordPress Plugin,DApps & Integrations,https://app.ideascale.com/t/UM5UZBqXA,1.83,144,17535270,0,15846532,1688738,NO,7326,NOT FUNDED,1350,Approval Threshold,USD,,,,,,,,,,,,,,,
Fund07,@chainlib 0.0.x->1.x & nami tests,Open Source Developer Ecosystem,https://app.ideascale.com/t/UM5UZBqXJ,2.83,93,17417588,0,20225216,-2807628,NO,14329,NOT FUNDED,195,Approval Threshold,USD,,,,,,,,,,,,,,,
Fund07,#G4L Gaming Expo-Festival 2022 GSA,Community Events,https://app.ideascale.com/t/UM5UZBq8o,2.94,220,18699852,0,16370113,2329739,NO,15000,NOT FUNDED,1119,Approval Threshold,USD,,,,,,,,,,,,,,,
Fund07,🔰 dVote - LATAM 🔰 AtalaPRISM,"Grow Latin America, Grow Cardan",https://app.ideascale.com/t/UM5UZBq8t,3.2,148,25272942,0,20949797,4323145,YES,98489,NOT FUNDED,225,Over Budget,USD,,,,,,,,,,,,,,,
Fund07,₳GOV: Agreements Building Platform,DAOs ❤ Cardano,https://app.ideascale.com/t/UM5UZBqWr,4.28,415,99674882,0,2580703,97094179,YES,68800,FUNDED,214073,,USD,,,,,,,,,,,,,,,
Fund07,₳GOV: Funded Proposer Experience,Improve and Grow Auditability,https://app.ideascale.com/t/UM5UZBqr2,3.67,135,33451060,0,13584858,19866202,YES,15000,NOT FUNDED,2327,Over Budget,USD,,,,,,,,,,,,,,,
Fund07,₳GOV: Policy Registry,Nation Building Dapps,https://app.ideascale.com/t/UM5UZBqWt,4.07,164,54233848,0,13131466,41102382,YES,27400,NOT FUNDED,20515,Over Budget,USD,,,,,,,,,,,,,,,
Fund07,₳GOV: Timelines and Treasury Data,Disarm cyber disinformation att,https://app.ideascale.com/t/UM5UZBq3e,3.76,345,65863177,0,9485376,56377801,YES,25000,NOT FUNDED,10500,Over Budget,USD,,,,,,,,,,,,,,,
Fund07,₳GOV: URL Conversations,DAOs ❤ Cardano,https://app.ideascale.com/t/UM5UZBqYi,3.56,210,53579210,0,14286791,39292419,YES,35000,NOT FUNDED,16173,Over Budget,USD,,,,,,,,,,,,,,,
Fund07,1st universal E-learning connector,MiniLow-Budget Dapps & Integrat,https://app.ideascale.com/t/UM5UZBqpt,4.33,183,78339375,0,3740072,74599303,YES,9999,FUNDED,150001,,USD,,,,,,,,,,,,,,,
Fund07,2Min Review by Vietnamese Voices,Multilingual resources,https://app.ideascale.com/t/UM5UZBq29,4.67,229,49293908,0,15218433,34075475,YES,18480,NOT FUNDED,1078,Over Budget,USD,,,,,,,,,,,,,,,
Fund07,2MIN REVIEW Integrated Platform,Improve and Grow Auditability,https://app.ideascale.com/t/UM5UZBraT,3.8,161,75794600,0,3637313,72157287,YES,12298,FUNDED,27502,,USD,,,,,,,,,,,,,,,
